edu,edur,race,citizen,usborn,boyorgirl,son,daughter,leadership,lifesatisfaction,discrimination,publicoffice,happywithlife,femaleoffice,femaledisc,femaleleader,censusregion,communitytype,language,gender,age,party,partyln,ideology,milnow,popdensity,standingup,keepgovhonest,compromise,publicsafety,dealsocialissue,representpublic,nationalsecurity,standingupr,keepgovhonestr,compromiser,publicsafetyr,dealsocialissuer,representpublicr,nationalsecurityr
four year college,college,white,US citizen,US born,either,yes,yes,39.29,83,17.65,35.71,yes,no,no,no,west,S,English,male,46,Republica,Do not know,very conservative,my spouse is,NA,no difference,women,men,men,men,no difference,men,NA,women,men,men,men,NA,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,42.86,83,52.94,100,yes,yes,yes,no,west,U,English,male,52,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,girl,no,yes,NA,78,41.18,50,yes,yes,no,NA,south,S,English,male,33,Republica,Republican,NA,my spouse is,low,no difference,no difference,men,men,women,no difference,men,NA,NA,men,men,women,NA,men
two year college,less than college,black,US citizen,US born,boy,NA,NA,42.86,67,52.94,50,no,yes,yes,no,south,U,English,female,34,Republica,Democrat,NA,my spouse is,high,no difference,women,women,men,no difference,women,men,NA,women,women,men,NA,women,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,71.43,83,17.65,78.57,yes,yes,no,yes,midwest,S,English,female,35,Republica,Do not know,NA,NA,high,women,no difference,no difference,men,no difference,no difference,no difference,women,NA,NA,men,NA,NA,NA
graduate,college,white,US citizen,US born,boy,yes,yes,NA,78,35.29,85.71,yes,yes,no,NA,North East,S,English,male,70,Republica,Democrat,NA,NA,high,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
HS or less,less than college,black,US citizen,US born,boy,yes,no,50,89,NA,92.86,yes,yes,NA,no,south,S,English,male,58,Republica,Democrat,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,women,NA,NA,NA,NA,NA,NA,women
two year college,less than college,Others,US citizen,US born,either,no,yes,NA,78,41.18,78.57,yes,yes,no,NA,south,S,English,female,52,Republica,Democrat,NA,no,high,no difference,no difference,women,no difference,women,women,no difference,NA,NA,women,NA,women,women,NA
graduate,college,white,US citizen,US born,either,NA,NA,NA,56,17.65,71.43,no,yes,no,NA,south,R,English,male,59,Republica,Democrat,NA,yes both,NA,no difference,women,women,no difference,women,women,no difference,NA,women,women,NA,women,women,NA
graduate,college,white,US citizen,US born,either,yes,yes,71.43,NA,NA,92.86,NA,yes,NA,yes,west,U,English,female,76,Republica,Democrat,NA,yes both,high,no difference,no difference,women,no difference,no difference,no difference,no difference,NA,NA,women,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,girl,yes,yes,NA,94,64.71,28.57,yes,no,yes,NA,North East,U,English,male,71,Republica,Do not know,conservative,no,NA,women,women,men,men,women,women,men,women,women,men,men,women,women,men
two year college,less than college,white,US citizen,US born,boy,NA,NA,NA,NA,76.47,35.71,NA,no,yes,NA,west,U,English,male,58,Republica,Democrat,NA,NA,NA,women,women,men,women,women,women,men,women,women,men,women,women,women,men
HS or less,less than college,NA,US citizen,US born,boy,NA,NA,21.43,NA,NA,50,NA,yes,NA,no,North East,S,English,male,32,Republica,NA,NA,my spouse is,NA,no difference,women,women,men,women,no difference,men,NA,women,women,men,women,NA,men
HS or less,less than college,Others,US citizen,Not US born,boy,NA,NA,57.14,NA,23.53,21.43,NA,no,no,no,west,U,English,male,18,Republica,Democrat,NA,NA,high,men,men,women,men,women,women,men,men,men,women,men,women,women,men
graduate,college,white,US citizen,US born,boy,NA,NA,35.71,72,70.59,57.14,NA,yes,yes,no,south,U,English,female,45,Republica,Do not know,conservative,yes both,high,no difference,women,women,no difference,women,women,men,NA,women,women,NA,women,women,men
HS or less,less than college,white,US citizen,US born,either,NA,NA,78.57,61,58.82,85.71,no,yes,yes,yes,North East,R,English,male,48,Republica,Republican,NA,no,high,no difference,no difference,no difference,women,no difference,women,no difference,NA,NA,NA,women,NA,women,NA
four year college,college,white,US citizen,US born,boy,yes,no,NA,78,41.18,78.57,yes,yes,no,NA,west,U,English,female,36,Republica,Do not know,conservative,no,high,no difference,women,women,no difference,women,no difference,no difference,NA,women,women,NA,women,NA,NA
two year college,less than college,black,US citizen,US born,boy,yes,no,NA,72,64.71,28.57,NA,no,yes,NA,south,U,English,female,32,Republica,Do not know,conservative,yes both,high,men,women,women,men,women,women,men,men,women,women,men,women,women,men
HS or less,less than college,white,US citizen,US born,either,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,North East,U,English,male,60,NA,Republican,NA,my spouse is,NA,women,NA,no difference,men,women,no difference,men,women,NA,NA,men,women,NA,men
HS or less,less than college,black,US citizen,US born,boy,yes,yes,NA,NA,58.82,100,NA,yes,yes,NA,midwest,U,English,female,61,NA,Democrat,NA,yes I am,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,NA,Not US citizen,Not US born,either,no,yes,32.14,56,29.41,NA,no,NA,no,no,west,U,Spanish,male,24,NA,Democrat,NA,NA,NA,women,NA,men,men,women,NA,NA,women,NA,men,men,women,NA,NA
two year college,less than college,white,US citizen,US born,girl,yes,yes,NA,39,47.06,35.71,no,no,no,NA,midwest,U,English,female,51,Republica,Democrat,NA,yes both,high,women,women,women,men,women,women,men,women,women,women,men,women,women,men
four year college,college,white,US citizen,US born,boy,yes,yes,NA,56,29.41,NA,no,NA,no,NA,midwest,S,English,male,36,Republica,Democrat,NA,no,high,NA,no difference,men,no difference,women,NA,NA,NA,NA,men,NA,women,NA,NA
two year college,less than college,NA,US citizen,Not US born,boy,yes,yes,NA,39,17.65,NA,no,NA,no,NA,west,U,Spanish,male,42,Republica,Democrat,NA,yes both,high,women,women,no difference,men,women,NA,men,women,women,NA,men,women,NA,men
four year college,college,black,US citizen,US born,either,yes,no,85.71,78,47.06,100,yes,yes,no,yes,south,S,English,female,48,Republica,Do not know,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,NA,yes,yes,NA,NA,35.29,85.71,NA,yes,no,NA,south,S,English,female,39,Republica,Do not know,conservative,yes both,high,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
graduate,college,white,US citizen,US born,either,NA,NA,50,72,41.18,85.71,NA,yes,no,no,midwest,S,English,female,29,Republica,Democrat,NA,no,low,no difference,no difference,no difference,men,no difference,no difference,no difference,NA,NA,NA,men,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,midwest,U,English,male,22,Republica,Democrat,NA,NA,NA,NA,women,NA,men,no difference,NA,men,NA,women,NA,men,NA,NA,men
four year college,college,white,US citizen,US born,either,NA,NA,NA,NA,58.82,85.71,NA,yes,yes,NA,midwest,S,English,female,62,Republica,Democrat,NA,no,high,no difference,women,women,no difference,no difference,no difference,no difference,NA,women,women,NA,NA,NA,NA
HS or less,less than college,black,US citizen,US born,either,yes,yes,NA,NA,NA,71.43,NA,yes,NA,NA,south,S,English,female,65,Republica,NA,NA,my spouse is,NA,no difference,no difference,women,no difference,no difference,women,men,NA,NA,women,NA,NA,women,men
two year college,less than college,black,US citizen,US born,girl,NA,NA,NA,22,64.71,57.14,no,yes,yes,NA,south,S,English,female,34,Republica,Democrat,NA,NA,low,no difference,men,no difference,women,women,no difference,men,NA,men,NA,women,women,NA,men
four year college,college,Others,US citizen,US born,boy,yes,no,42.86,67,29.41,64.29,no,yes,no,no,North East,S,English,male,42,Republica,Do not know,conservative,yes both,high,women,women,women,women,women,no difference,no difference,women,women,women,women,women,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,61,82.35,71.43,no,yes,yes,NA,south,U,English,female,52,Republica,Democrat,NA,yes I am,NA,no difference,no difference,no difference,men,no difference,no difference,men,NA,NA,NA,men,NA,NA,men
graduate,college,black,US citizen,US born,boy,yes,yes,NA,67,58.82,64.29,no,yes,yes,NA,North East,R,English,female,45,Republica,Democrat,NA,my spouse is,high,no difference,women,no difference,men,women,no difference,women,NA,women,NA,men,women,NA,women
two year college,less than college,white,Not US citizen,Not US born,girl,NA,NA,71.43,NA,64.71,78.57,NA,yes,yes,yes,midwest,S,English,female,28,NA,Democrat,NA,no,high,no difference,no difference,women,no difference,no difference,no difference,men,NA,NA,women,NA,NA,NA,men
graduate,college,white,US citizen,US born,either,NA,NA,NA,NA,35.29,85.71,NA,yes,no,NA,west,U,English,female,65,Republica,Democrat,NA,yes both,high,no difference,women,women,no difference,no difference,no difference,no difference,NA,women,women,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,no,NA,NA,NA,100,NA,yes,NA,NA,west,U,English,male,60,Republica,Do not know,NA,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,black,US citizen,US born,girl,no,yes,NA,72,47.06,57.14,NA,yes,no,NA,south,S,English,female,47,Republica,Democrat,NA,no,low,no difference,women,women,women,women,no difference,men,NA,women,women,women,women,NA,men
HS or less,less than college,white,US citizen,US born,girl,NA,NA,57.14,39,11.76,NA,no,NA,no,no,south,S,English,male,20,Democrat,Democrat,NA,no,NA,no difference,NA,NA,women,women,NA,men,NA,NA,NA,women,women,NA,men
HS or less,less than college,white,US citizen,US born,either,NA,NA,92.86,NA,41.18,92.86,NA,yes,no,yes,North East,S,English,male,65,Republica,Democrat,NA,no,NA,no difference,no difference,no difference,no difference,women,no difference,no difference,NA,NA,NA,NA,women,NA,NA
graduate,college,white,US citizen,US born,either,yes,yes,NA,NA,NA,71.43,NA,yes,NA,NA,west,U,English,female,80,Republica,Democrat,NA,NA,NA,no difference,women,women,no difference,no difference,women,women,NA,women,women,NA,NA,women,women
two year college,less than college,black,US citizen,US born,boy,NA,NA,NA,72,58.82,NA,NA,NA,yes,NA,North East,U,English,male,20,NA,Democrat,NA,no,NA,men,NA,women,men,women,men,men,men,NA,women,men,women,men,men
four year college,college,white,US citizen,US born,either,yes,yes,NA,56,64.71,85.71,no,yes,yes,NA,south,S,English,female,55,Republica,Democrat,NA,no,NA,no difference,no difference,no difference,men,no difference,no difference,no difference,NA,NA,NA,men,NA,NA,NA
graduate,college,black,US citizen,US born,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,midwest,U,English,female,60,Republica,Democrat,NA,yes I am,NA,no difference,NA,women,no difference,women,men,men,NA,NA,women,NA,women,men,men
graduate,college,white,US citizen,US born,either,no,yes,NA,NA,35.29,85.71,NA,yes,no,NA,midwest,U,English,male,62,Republica,Democrat,NA,NA,high,no difference,no difference,no difference,no difference,women,women,no difference,NA,NA,NA,NA,women,women,NA
four year college,college,white,US citizen,US born,either,yes,yes,NA,89,41.18,92.86,yes,yes,no,NA,North East,R,English,male,60,Republica,Do not know,conservative,yes both,NA,no difference,no difference,no difference,women,no difference,no difference,no difference,NA,NA,NA,women,NA,NA,NA
HS or less,less than college,black,US citizen,US born,boy,yes,no,NA,NA,35.29,NA,NA,NA,no,NA,North East,U,English,male,18,NA,Democrat,NA,yes I am,NA,NA,women,women,no difference,women,men,men,NA,women,women,NA,women,men,men
graduate,college,black,US citizen,US born,boy,yes,yes,NA,89,NA,35.71,yes,no,NA,NA,west,U,English,male,73,Republica,Do not know,conservative,yes both,high,women,women,women,men,no difference,men,men,women,women,women,men,NA,men,men
two year college,less than college,NA,US citizen,Not US born,boy,NA,NA,NA,61,47.06,100,no,yes,no,NA,south,S,English,male,18,Republica,Do not know,conservative,no,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,white,US citizen,US born,either,NA,NA,NA,NA,52.94,100,NA,yes,yes,NA,south,U,English,male,70,Republica,Democrat,NA,NA,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,white,Not US citizen,Not US born,girl,NA,NA,NA,NA,64.71,14.29,NA,no,yes,NA,west,S,English,female,31,NA,Democrat,NA,no,high,men,men,women,men,men,women,men,men,men,women,men,men,women,men
two year college,less than college,black,US citizen,US born,NA,yes,yes,NA,61,17.65,100,no,yes,no,NA,south,S,English,female,43,Republica,Democrat,NA,no,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,no,yes,28.57,61,47.06,35.71,no,no,no,no,North East,S,English,female,52,Republica,Democrat,NA,no,high,no difference,women,women,men,women,men,men,NA,women,women,men,women,men,men
two year college,less than college,black,US citizen,US born,boy,yes,no,78.57,56,29.41,85.71,no,yes,no,yes,midwest,S,English,female,26,Republica,Democrat,NA,my spouse is,NA,no difference,no difference,women,no difference,no difference,women,no difference,NA,NA,women,NA,NA,women,NA
graduate,college,white,US citizen,US born,girl,no,yes,NA,NA,52.94,78.57,NA,yes,yes,NA,North East,S,English,male,63,Republica,Democrat,NA,NA,low,no difference,women,women,women,no difference,no difference,no difference,NA,women,women,women,NA,NA,NA
four year college,college,white,US citizen,US born,either,yes,yes,78.57,NA,70.59,57.14,NA,yes,yes,yes,south,U,English,female,74,Republica,Democrat,NA,yes both,NA,no difference,no difference,women,men,women,women,women,NA,NA,women,men,women,women,women
four year college,college,white,US citizen,US born,either,yes,no,100,89,58.82,78.57,yes,yes,yes,yes,south,U,English,female,50,Republica,Democrat,NA,no,high,no difference,no difference,no difference,no difference,women,no difference,men,NA,NA,NA,NA,women,NA,men
graduate,college,black,US citizen,US born,either,NA,NA,NA,72,17.65,100,NA,yes,no,NA,south,S,English,female,35,Republica,Democrat,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,NA,yes,no,NA,28,47.06,92.86,no,yes,no,NA,midwest,S,English,male,56,Republica,NA,conservative,yes both,high,no difference,women,no difference,no difference,no difference,no difference,no difference,NA,women,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,NA,NA,NA,44,47.06,92.86,no,yes,no,NA,North East,S,English,male,18,Republica,Democrat,NA,no,high,women,no difference,no difference,no difference,no difference,no difference,no difference,women,NA,NA,NA,NA,NA,NA
four year college,college,NA,US citizen,US born,boy,yes,no,NA,56,17.65,0,no,no,no,NA,south,R,English,female,50,Republica,Republican,NA,yes both,low,men,men,men,men,men,men,men,men,men,men,men,men,men,men
graduate,college,white,US citizen,US born,NA,yes,no,50,67,23.53,64.29,no,yes,no,no,south,U,English,female,52,Republica,Democrat,NA,NA,high,women,no difference,women,no difference,women,women,women,women,NA,women,NA,women,women,women
two year college,less than college,black,US citizen,US born,boy,no,yes,NA,61,64.71,64.29,no,yes,yes,NA,North East,U,English,male,18,NA,Do not know,very conservative,my spouse is,high,no difference,no difference,women,men,no difference,no difference,men,NA,NA,women,men,NA,NA,men
